National_Gm_Num,Network,Date,Start Time,End Time,Duration,Away Team,Home Team,National Rating,Average Viewers (000),Average Households (000)
1,TNT,2016-10-25,7:33 PM,10:12 PM,159,NYK,Cleveland,2.2,2872,2044
2,TNT,2016-10-25,10:12 PM,12:56 AM,164,SAS,Golden State,2.6,3483,2428
3,ESPN,2016-10-26,8:04 PM,10:42 PM,158,OKC,Philadelphia,1.4,1583,1224
4,ESPN,2016-10-26,10:42 PM,1:12 AM,150,HOU,L.A. Lakers,1.7,2002,1518
5,TNT,2016-10-27,8:13 PM,10:49 PM,156,BOS,Chicago,1.6,1961,1430
6,TNT,2016-10-27,10:49 PM,1:44 AM,175,LAC,Portland,1.4,1685,1256
7,ESPN,2016-10-28,7:00 PM,9:37 PM,157,CLE,Toronto,1.1,1410,1015
8,ESPN,2016-10-28,9:37 PM,12:11 AM,154,GSW,New Orleans,1.5,1875,1340
9,NBA TV,2016-10-29,8:00 PM,10:37 PM,157,NOP,San Antonio,0.3,219,161
10,NBA TV,2016-10-29,10:37 PM,1:25 AM,168,MIN,Sacramento,0.36,260,192
11,NBA TV,2016-10-30,8:00 PM,10:48 PM,168,WAS,Memphis,0.12,82,64
12,NBA TV,2016-10-31,7:30 PM,9:46 PM,136,CHI,Brooklyn,0.28,176,151
13,NBA TV,2016-11-1,6:00 PM,8:43 PM,163,HOU,Cleveland,0.59,400,317
14,NBA TV,2016-11-1,10:04 PM,12:27 AM,143,GSW,Portland,0.98,692,525
15,ESPN,2016-11-2,8:04 PM,10:38 PM,154,CHI,Boston,0.7,811,647
16,ESPN,2016-11-2,10:38 PM,1:08 AM,150,OKC,L.A. Clippers,0.8,947,701
17,TNT,2016-11-3,8:14 PM,10:50 PM,156,BOS,Cleveland,1.7,2277,1601
18,TNT,2016-11-3,10:50 PM,1:19 AM,149,OKC,Golden State,2.9,3769,2657
19,ESPN,2016-11-4,8:05 PM,10:36 PM,151,NYK,Chicago,1.7,1999,1499
20,ESPN,2016-11-4,10:36 PM,1:03 AM,147,GSW,L.A. Lakers,2,2496,1819
21,NBA TV,2016-11-5,8:30 PM,11:05 PM,155,LAC,San Antonio,0.34,270,184
22,NBA TV,2016-11-6,9:00 PM,11:27 PM,147,MIL,Dallas,0.23,191,122
23,NBA TV,2016-11-7,7:00 PM,9:47 PM,167,UTA,Philadelphia,0.25,171,134
24,NBA TV,2016-11-8,7:02 PM,9:31 PM,149,ATL,Cleveland,0.59,429,314
25,NBA TV,2016-11-8,10:30 PM,1:08 AM,158,NOP,Sacramento,0.25,174,131
26,ESPN,2016-11-9,6:59 PM,9:32 PM,153,BRK,New York,1,1114,861
27,ESPN,2016-11-9,9:32 PM,12:03 AM,151,HOU,San Antonio,1.3,1451,1112
28,TNT,2016-11-10,8:15 PM,10:45 PM,150,CHI,Miami,1.3,1581,1192
29,TNT,2016-11-10,10:45 PM,1:18 AM,153,LAL,Sacramento,1.2,1497,1104
30,NBA TV,2016-11-11,8:00 PM,10:43 PM,163,LAC,Oklahoma City,0.56,407,297
31,NBA TV,2016-11-12,9:00 PM,11:18 PM,138,DET,Denver,0.15,105,80
32,NBA TV,2016-11-14,9:00 PM,11:18 PM,163,PHI,Houston,0.19,136,101
33,NBA TV,2016-11-15,7:02 PM,9:35 PM,153,TOR,Cleveland,0.68,473,363
34,NBA TV,2016-11-15,10:00 PM,12:19 AM,139,CHI,Portland,0.46,306,245
35,ESPN,2016-11-16,8:04 PM,10:46 PM,162,GSW,Toronto,1.7,2000,1508
36,ESPN,2016-11-16,10:46 PM,1:28 AM,162,MEM,L.A. Clippers,1.4,1615,1240
37,TNT,2016-11-17,8:14 PM,10:40 PM,146,PHI,Minnesota,0.5,611,494
38,TNT,2016-11-17,10:40 PM,1:05 AM,145,CHI,Utah,0.6,736,585
39,ESPN,2016-11-18,8:05 PM,10:35 PM,150,GSW,Boston,1.7,1962,1468
40,ESPN,2016-11-18,10:35 PM,1:19 AM,164,LAC,Sacramento,1.1,1281,984
41,NBA TV,2016-11-19,8:00 PM,10:40 PM,160,MIN,Memphis,0.26,172,139
42,NBA TV,2016-11-19,10:40 PM,1:17 AM,157,CHI,L.A. Clippers,0.42,286,225
43,NBA TV,2016-11-21,8:31 PM,10:58 PM,147,DAL,San Antonio,0.28,202,146
44,NBA TV,2016-11-22,9:05 PM,11:31 PM,146,CHI,Denver,0.62,449,329
45,ESPN,2016-11-23,6:59 PM,9:35 PM,156,SAS,Charlotte,1,1110,857
46,ESPN,2016-11-23,9:35 PM,11:57 PM,142,MIN,New Orleans,1.1,1287,933
47,NBA TV,2016-11-25,7:30 PM,10:08 PM,158,CHA,New York,0.42,303,223
48,NBA TV,2016-11-25,10:35 PM,1:01 AM,146,GSW,L.A. Lakers,0.76,627,402
49,NBA TV,2016-11-26,7:00 PM,9:38 PM,158,SAS,Washington,0.28,202,147
50,NBA TV,2016-11-28,7:31 PM,10:15 PM,164,BOS,Miami,0.23,156,124
51,NBA TV,2016-11-29,9:00 PM,11:23 PM,143,HOU,Utah,0.46,322,240
52,NBA TV,2016-11-30,7:30 PM,10:00 PM,150,DET,Boston,0.37,231,193
53,NBA TV,2016-11-30,10:00 PM,12:27 AM,147,IND,Portland,0.38,249,198
54,TNT,2016-12-1,8:14 PM,10:51 PM,157,LAC,Cleveland,0.9,1053,825
55,TNT,2016-12-1,10:51 PM,2:09 AM,198,HOU,Golden State,1.4,1591,1238
56,ESPN,2016-12-2,8:01 PM,10:25 PM,144,CLE,Chicago,1.5,1713,1320
57,ESPN,2016-12-2,10:25 PM,12:57 AM,152,HOU,Denver,1.1,1216,937
58,NBA TV,2016-12-3,9:00 PM,11:37 PM,157,DEN,Utah,0.14,102,74
59,NBA TV,2016-12-5,8:00 PM,10:35 PM,155,BOS,Houston,0.38,253,202
60,NBA TV,2016-12-5,10:35 PM,1:06 AM,151,IND,Golden State,0.75,497,394
61,NBA TV,2016-12-6,8:00 PM,10:27 PM,147,SAS,Minnesota,0.53,361,279
62,ESPN,2016-12-7,8:00 PM,10:35 PM,155,CLE,New York,1.6,1828,1419
63,ESPN,2016-12-7,10:35 PM,1:13 AM,158,GSW,L.A. Clippers,2,2367,1785
64,TNT,2016-12-8,7:14 PM,9:44 PM,150,MIN,Toronto,0.6,707,578
65,TNT,2016-12-8,9:44 PM,12:10 AM,146,SAS,Chicago,0.9,1037,795
66,ESPN,2016-12-9,8:04 PM,10:41 PM,157,HOU,Oklahoma City,1.5,1820,1358
67,ESPN,2016-12-9,10:41 PM,1:08 AM,147,PHX,L.A. Lakers,1.3,1584,1174
68,NBA TV,2016-12-10,8:00 PM,10:34 PM,154,MIA,Chicago,0.49,342,259
69,NBA TV,2016-12-10,10:34 PM,12:59 AM,145,NOP,L.A. Clippers,0.42,274,220
70,NBA TV,2016-12-12,7:30 PM,10:08 PM,158,WAS,Miami,0.21,141,111
71,NBA TV,2016-12-12,10:35 PM,1:25 AM,170,POR,L.A. Clippers,0.36,249,188
72,ESPN,2016-12-13,8:01 PM,10:35 PM,154,MIN,Chicago,1.2,1353,1092
73,ESPN,2016-12-13,10:35 PM,1:05 AM,150,OKC,Portland,1.4,1530,1204
74,ESPN,2016-12-14,6:59 PM,9:35 PM,156,IND,Miami,0.9,996,809
75,ESPN,2016-12-14,9:35 PM,11:55 PM,140,BOS,San Antonio,1.3,1394,1111
76,TNT,2016-12-15,8:14 PM,10:50 PM,156,CHI,Milwaukee,0.8,924,733
77,TNT,2016-12-15,10:50 PM,1:13 AM,143,NYK,Golden State,1.2,1431,1110
78,ESPN,2016-12-16,8:01 PM,10:42 PM,161,LAL,Philadelphia,1,1116,841
79,ESPN,2016-12-16,10:42 PM,1:14 AM,152,DAL,Utah,0.9,1062,774
80,NBA TV,2016-12-17,10:30 PM,1:03 AM,153,POR,Golden State,0.52,331,272
81,NBA TV,2016-12-19,8:00 PM,10:38 PM,158,PHX,Minnesota,0.22,166,115
82,NBA TV,2016-12-20,8:00 PM,10:27 PM,147,SAS,Houston,0.66,462,350
83,NBA TV,2016-12-20,10:27 PM,12:54 AM,147,UTA,Golden State,0.89,603,466
84,NBA TV,2016-12-21,7:00 PM,9:31 PM,151,MIL,Cleveland,0.51,386,268
85,NBA TV,2016-12-21,10:00 PM,12:42 AM,162,DAL,Portland,0.49,358,258
86,TNT,2016-12-22,8:13 PM,10:51 PM,158,LAL,Miami,0.6,772,576
87,TNT,2016-12-22,10:51 PM,1:28 AM,157,SAS,L.A. Clippers,0.8,977,755
88,NBA TV,2016-12-23,7:30 PM,10:00 PM,150,OKC,Boston,0.55,388,289
89,NBA TV,2016-12-23,10:30 PM,1:02 AM,152,DAL,L.A. Clippers,0.49,342,260
90,ESPN,2016-12-25,12:00 PM,2:38 PM,158,BOS,New York,2.7,3689,2394
91,ABC,2016-12-25,2:28 PM,5:18 PM,170,GSW,Cleveland,4.9,10143,5822
92,ABC,2016-12-25,5:18 PM,7:44 PM,146,CHI,San Antonio,2.8,5465,3320
93,ESPN,2016-12-25,7:59 PM,10:34 PM,155,MIN,Oklahoma City,1.1,1390,954
94,ESPN,2016-12-25,10:34 PM,1:07 AM,153,LAC,L.A. Lakers,1.3,1610,1125
95,NBA TV,2016-12-26,8:00 PM,10:31 PM,151,IND,Chicago,0.23,163,119
96,NBA TV,2016-12-26,10:31 PM,1:04 AM,153,DEN,L.A. Clippers,0.26,187,136
97,NBA TV,2016-12-27,7:30 PM,10:01 PM,151,OKC,Miami,0.61,445,319
98,NBA TV,2016-12-27,10:30 PM,1:07 AM,157,UTA,L.A. Lakers,0.49,357,256
99,NBA TV,2016-12-28,7:30 PM,9:51 PM,141,MIL,Detroit,0.31,221,161
100,NBA TV,2016-12-28,10:30 PM,1:02 AM,152,TOR,Golden State,0.89,616,465
101,TNT,2016-12-29,8:14 PM,10:49 PM,155,BOS,Cleveland,1.3,1616,1164
102,TNT,2016-12-29,10:49 PM,1:10 AM,141,DAL,L.A. Lakers,1,1268,931
103,NBA TV,2016-12-30,8:00 PM,10:34 PM,154,LAC,Houston,0.31,195,165
104,NBA TV,2016-12-31,8:00 PM,10:36 PM,156,LAC,Oklahoma City,0.26,203,134
105,NBA TV,2017-1-2,8:00 PM,10:32 PM,152,CHA,Chicago,0.32,234,167
106,NBA TV,2017-1-3,7:34 PM,10:00 PM,146,UTA,Boston,0.54,377,281
107,NBA TV,2017-1-3,10:31 PM,12:57 AM,146,MEM,L.A. Lakers,0.41,253,214
108,ESPN,2017-1-4,8:01 PM,10:35 PM,154,CHI,Cleveland,1.7,2061,1499
109,ESPN,2017-1-4,10:35 PM,1:15 AM,160,POR,Golden State,1.8,2159,1603
110,TNT,2017-1-5,8:00 PM,10:39 PM,159,OKC,Houston,1.4,1782,1295
111,TNT,2017-1-5,10:39 PM,1:13 AM,154,LAL,Portland,1.1,1385,1023
112,ESPN,2017-1-6,8:01 PM,10:40 PM,159,NYK,Milwaukee,1.4,1584,1210
113,ESPN,2017-1-6,10:40 PM,1:37 AM,177,MEM,Golden State,1.7,2029,1510
114,NBA TV,2017-1-8,8:01 PM,10:34 PM,153,UTA,Memphis,0.32,231,170
115,NBA TV,2017-1-10,7:30 PM,10:06 PM,156,BOS,Toronto,0.42,329,219
116,NBA TV,2017-1-10,10:31 PM,12:58 AM,147,MIA,Golden State,0.76,507,396
117,ESPN,2017-1-11,8:01 PM,10:38 PM,157,MEM,Oklahoma City,1.2,1346,1060
118,ESPN,2017-1-11,10:38 PM,12:58 AM,140,CLE,Portland,1.5,1650,1280
119,NBA TV,2017-1-12,2:58 PM,5:23 PM,145,IND,Denver,0.12,67,64
120,TNT,2017-1-12,8:14 PM,10:36 PM,142,CHI,New York,1.2,1442,1097
121,TNT,2017-1-12,10:36 PM,1:09 AM,153,DET,Golden State,1.3,1550,1190
122,ESPN,2017-1-13,8:01 PM,10:35 PM,154,BOS,Atlanta,1,1161,921
123,ESPN,2017-1-13,10:35 PM,12:54 AM,139,DET,Utah,0.9,1063,780
124,NBA TV,2017-1-14,6:00 PM,8:32 PM,152,SAS,Phoenix,0.13,113,70
125,ESPN,2017-1-15,9:00 PM,11:33 PM,153,CHI,Memphis,0.3,377,298
126,NBA TV,2017-1-16,1:00 PM,3:45 PM,165,ATL,New York,0.28,159,145
127,NBA TV,2017-1-16,5:04 PM,7:18 PM,134,ORL,Denver,0.24,157,128
128,TNT,2017-1-16,8:01 PM,10:38 PM,157,CLE,Golden State,3.3,4529,3039
129,TNT,2017-1-16,10:38 PM,1:01 AM,143,OKC,L.A. Clippers,1.4,1716,1263
130,NBA TV,2017-1-17,7:31 PM,10:02 PM,151,HOU,Miami,0.52,340,272
131,NBA TV,2017-1-17,10:34 PM,1:00 AM,146,DEN,L.A. Lakers,0.51,334,266
132,ESPN,2017-1-18,8:01 PM,10:34 PM,153,MIL,Houston,1.1,1298,983
133,ESPN,2017-1-18,10:34 PM,1:03 AM,149,OKC,Golden State,2.2,2650,1934
134,TNT,2017-1-19,8:00 PM,10:22 PM,142,WAS,New York,1.2,1423,1054
135,TNT,2017-1-19,10:22 PM,1:07 AM,165,MIN,L.A. Clippers,1,1211,937
136,ESPN,2017-1-20,8:01 PM,10:35 PM,154,GSW,Houston,1.7,2075,1537
137,ESPN,2017-1-20,10:35 PM,12:56 AM,141,IND,L.A. Lakers,1.2,1360,1042
138,ABC,2017-1-21,8:29 PM,11:19 PM,170,SAS,Cleveland,2.2,3602,2575
139,TNT,2017-1-23,8:13 PM,10:50 PM,157,NYK,Indiana,0.8,977,723
140,NBA TV,2017-1-24,7:00 PM,9:38 PM,158,SAS,Toronto,0.39,259,203
141,ESPN,2017-1-25,8:00 PM,10:35 PM,155,GSW,Charlotte,1.6,1849,1386
142,ESPN,2017-1-25,10:35 PM,12:56 AM,141,LAL,Portland,1.2,1347,1013
143,TNT,2017-1-26,8:00 PM,10:33 PM,153,DAL,Oklahoma City,1.1,1305,1002
144,TNT,2017-1-26,10:33 PM,1:02 AM,149,LAL,Utah,0.9,1040,842
145,ESPN,2017-1-27,8:01 PM,10:45 PM,164,HOU,Philadelphia,1.3,1545,1142
146,ABC,2017-1-28,8:29 PM,11:00 PM,151,LAC,Golden State,2,3263,2347
147,ABC,2017-1-29,3:28 PM,6:00 PM,152,OKC,Cleveland,2,3189,2403
148,NBA TV,2017-1-29,6:00 PM,8:09 PM,129,WAS,New Orleans,0.33,234,174
149,NBA TV,2017-1-29,9:00 PM,11:36 PM,156,GSW,Portland,0.77,583,402
150,TNT,2017-1-30,8:14 PM,10:47 PM,153,DET,Boston,1,1111,869
151,TNT,2017-1-30,10:47 PM,1:05 AM,138,MEM,Phoenix,0.8,861,680
152,NBA TV,2017-1-31,8:30 PM,11:17 PM,167,OKC,San Antonio,0.74,494,385
153,ESPN,2017-2-1,6:59 PM,9:22 PM,143,MIN,Cleveland,1.4,1474,1191
154,ESPN,2017-2-1,9:30 PM,11:57 PM,147,CHI,Oklahoma City,1.3,1458,1157
155,TNT,2017-2-2,8:02 PM,10:38 PM,156,ATL,Houston,1.2,1475,1121
156,TNT,2017-2-2,10:38 PM,1:16 AM,158,GSW,L.A. Clippers,1.9,2357,1713
157,ESPN,2017-2-3,8:01 PM,10:35 PM,154,LAL,Boston,1.3,1521,1118
158,ESPN,2017-2-3,10:35 PM,1:01 AM,146,DAL,Portland,1,1179,876
159,ABC,2017-2-4,8:29 PM,11:01 PM,152,CLE,New York,1.7,2821,2006
160,ABC,2017-2-5,1:58 PM,4:31 PM,153,LAC,Boston,1.3,2079,1558
161,TNT,2017-2-6,7:14 PM,10:13 PM,179,CLE,Washington,1.4,1730,1247
162,TNT,2017-2-6,10:13 PM,12:18 AM,125,SAS,Memphis,1.1,1308,986
163,NBA TV,2017-2-7,8:01 PM,10:21 PM,140,ORL,Houston,0.41,266,213
164,ESPN,2017-2-8,8:01 PM,10:38 PM,157,LAC,New York,1.3,1541,1129
165,ESPN,2017-2-8,10:38 PM,12:58 AM,140,CHI,Golden State,1.6,1958,1413
166,TNT,2017-2-9,8:13 PM,10:43 PM,150,CLE,Oklahoma City,1.8,2106,1597
167,TNT,2017-2-9,10:43 PM,1:17 AM,154,BOS,Portland,1.1,1314,1004
168,ESPN,2017-2-10,8:01 PM,10:30 PM,149,IND,Washington,1,1156,863
169,ESPN,2017-2-10,10:30 PM,12:55 AM,145,CHI,Phoenix,1,1163,849
170,ABC,2017-2-11,8:28 PM,11:19 PM,171,GSW,Oklahoma City,3.4,6036,4000
171,ABC,2017-2-12,3:28 PM,6:03 PM,155,SAS,New York,1.9,2867,2231
172,NBA TV,2017-2-12,6:00 PM,8:28 PM,148,DET,Toronto,0.45,313,231
173,NBA TV,2017-2-12,9:00 PM,11:35 PM,155,NOP,Sacramento,0.37,257,190
174,TNT,2017-2-13,8:14 PM,10:43 PM,149,OKC,Washington,0.937425209,1095,849
175,TNT,2017-2-13,10:43 PM,1:40 AM,177,ATL,Portland,0.737770737,876,668
176,NBA TV,2017-2-14,8:00 PM,10:27 PM,147,CLE,Minnesota,0.8,508,391
177,NBA TV,2017-2-14,10:27 PM,12:54 AM,147,SAC,L.A. Lakers,0.5,326,249
178,ESPN,2017-2-15,7:00 PM,9:35 PM,155,IND,Cleveland,1.2,1383,1093
179,ESPN,2017-2-15,9:35 PM,12:01 AM,146,NYK,Oklahoma City,1.4,1555,1217
180,TNT,2017-2-16,8:00 PM,10:28 PM,148,BOS,Chicago,1.2,1449,1098
181,TNT,2017-2-23,8:14 PM,10:34 PM,140,NYK,Cleveland,1.6,2052,1492
182,TNT,2017-2-23,10:34 PM,1:23 AM,169,LAC,Golden State,2.1,2597,1890
183,ESPN,2017-2-24,8:01 PM,10:44 PM,163,BOS,Toronto,1.1,1267,987
184,ESPN,2017-2-24,10:44 PM,1:13 AM,149,SAS,L.A. Clippers,1.3,1537,1163
185,NBA TV,2017-2-25,5:02 PM,7:14 PM,132,CHA,Sacramento,0.18,139,95
186,ABC,2017-2-25,8:29 PM,10:53 PM,144,CHI,Cleveland,1.5,2437,1828
187,NBA TV,2017-2-26,3:30 PM,6:00 PM,150,PHX,Milwaukee,0.44,278,228
188,NBA TV,2017-2-26,7:00 PM,9:39 PM,159,NOP,Oklahoma City,0.81,579,420
189,NBA TV,2017-2-26,9:39 PM,12:31 AM,172,CHA,L.A. Clippers,0.63,435,325
190,TNT,2017-2-27,7:14 PM,9:44 PM,150,MIL,Cleveland,0.9,1077,835
191,TNT,2017-2-27,9:44 PM,12:22 AM,158,IND,Houston,1,1204,934
192,NBA TV,2017-2-28,7:02 PM,9:36 PM,154,GSW,Washington,0.87,565,443
193,NBA TV,2017-2-28,10:30 PM,12:54 AM,144,CHA,L.A. Lakers,0.38,249,193
194,ESPN,2017-3-1,8:00 PM,10:37 PM,157,CLE,Boston,1.9,2247,1679
195,ESPN,2017-3-1,10:37 PM,1:04 AM,147,HOU,L.A. Clippers,1.3,1556,1173
196,TNT,2017-3-2,8:14 PM,10:43 PM,149,GSW,Chicago,2.2,2698,1978
197,TNT,2017-3-2,10:43 PM,1:23 AM,160,OKC,Portland,1.5,1791,1356
198,ESPN,2017-3-3,6:59 PM,9:36 PM,157,CLE,Atlanta,1,1183,890
199,ESPN,2017-3-3,9:36 PM,12:20 AM,164,SAS,New Orleans,1.5,1814,1338
200,ABC,2017-3-4,8:29 PM,10:55 PM,146,LAC,Chicago,1.1,1673,1317
201,ABC,2017-3-5,3:29 PM,6:05 PM,156,GSW,New York,2.1,3276,2471
202,NBA TV,2017-3-5,6:00 PM,8:52 PM,172,UTA,Sacramento,0.36,255,184
203,ESPN,2017-3-5,8:30 PM,11:00 PM,150,OKC,Dallas,1.39,1638,1211
204,TNT,2017-3-6,8:14 PM,10:42 PM,148,IND,Charlotte,0.68,801,613
205,TNT,2017-3-6,10:42 PM,1:29 AM,167,BOS,L.A. Clippers,0.86,992,777
206,NBA TV,2017-3-7,8:00 PM,10:41 PM,161,POR,Oklahoma City,0.66,415,334
207,ESPN,2017-3-8,8:01 PM,10:28 PM,147,DET,Indiana,0.9,994,754
208,ESPN,2017-3-8,10:28 PM,12:58 AM,150,BOS,Golden State,1.7,2016,1518
209,TNT,2017-3-9,8:15 PM,10:43 PM,148,SAS,Oklahoma City,1.3,1641,1210
210,TNT,2017-3-9,10:43 PM,1:11 AM,148,LAL,Phoenix,0.9,1053,784
211,NBA TV,2017-3-10,8:00 PM,10:39 PM,159,GSW,Minnesota,0.83,618,421
212,NBA TV,2017-3-10,10:39 PM,1:17 AM,158,WAS,Sacramento,0.36,239,183
213,ABC,2017-3-11,8:29 PM,10:54 PM,145,GSW,San Antonio,1.5,2450,1786
214,ABC,2017-3-12,3:29 PM,5:41 PM,132,CHI,Boston,1.1,1694,1288
215,NBA TV,2017-3-12,6:00 PM,8:42 PM,162,MIA,Indiana,0.4,289,202
216,ESPN,2017-3-12,9:00 PM,11:34 PM,154,CLE,Houston,2,2335,1748
217,TNT,2017-3-13,8:14 PM,10:47 PM,153,ATL,San Antonio,1,1209,896
218,TNT,2017-3-13,10:47 PM,1:08 AM,141,LAL,Denver,0.8,996,702
219,NBA TV,2017-3-14,7:02 PM,9:27 PM,145,DET,Cleveland,0.46,317,233
220,NBA TV,2017-3-14,10:30 PM,1:25 AM,175,PHI,Golden State,0.82,597,418
221,ESPN,2017-3-15,8:01 PM,10:36 PM,155,POR,San Antonio,1.1,1253,936
222,ESPN,2017-3-15,10:36 PM,1:08 AM,152,MIL,L.A. Clippers,1.1,1203,925
223,NBA TV,2017-3-16,7:00 PM,9:27 PM,147,UTA,Cleveland,0.42,213,303
224,NBA TV,2017-3-17,8:00 PM,10:33 PM,153,MIN,Miami,0.25,164,129
225,ABC,2017-3-18,8:29 PM,10:56 PM,147,CLE,L.A. Clippers,1,1647,1238
226,NBA TV,2017-3-19,6:00 PM,8:36 PM,156,IND,Toronto,0.19,133,98
227,NBA TV,2017-3-19,9:32 PM,11:58 PM,146,CLE,L.A. Lakers,0.4,279,204
228,TNT,2017-3-20,8:14 PM,10:44 PM,150,GSW,Oklahoma City,2.1,2554,1881
229,TNT,2017-3-20,10:44 PM,1:10 AM,146,NYK,L.A. Clippers,1.1,1255,981
230,ESPN,2017-3-21,7:00 PM,10:09 PM,189,CHI,Toronto,1,1102,836
231,ESPN,2017-3-21,10:09 PM,12:12 AM,123,SAS,Minnesota,1.1,1236,948
232,ESPN,2017-3-22,8:01 PM,10:43 PM,162,ATL,Washington,0.9,1027,800
233,ESPN,2017-3-22,10:43 PM,1:01 AM,138,NYK,Utah,0.8,903,713
234,NBA TV,2017-3-23,7:31 PM,10:06 PM,155,TOR,Miami,0.3,200,153
235,NBA TV,2017-3-24,8:11 PM,10:50 PM,163,ATL,Milwaukee,0.21,144,105
236,NBA TV,2017-3-25,7:33 PM,10:00 PM,147,NYK,San Antonio,0.49,323,247
237,ABC,2017-3-26,3:29 PM,6:04 PM,155,OKC,Houston,0.9,1488,1107
238,NBA TV,2017-3-26,9:30 PM,11:46 PM,136,POR,L.A. Lakers,0.35,225,177
239,TNT,2017-3-27,8:14 PM,10:44 PM,150,CLE,San Antonio,1.5,1799,1367
240,TNT,2017-3-27,10:44 PM,1:12 AM,148,NOP,Utah,0.8,942,757
241,NBA TV,2017-3-28,8:02 PM,10:41 PM,159,GSW,Houston,1.15,744,577
242,NBA TV,2017-3-28,10:41 PM,12:54 AM,133,WAS,L.A. Lakers,0.51,333,254
243,NBA TV,2017-3-29,7:01 PM,10:04 PM,183,OKC,Orlando,0.4,233,200
244,ESPN,2017-3-29,9:31 PM,12:04 AM,153,GSW,San Antonio,2.4,2911,2093
245,TNT,2017-3-30,8:14 PM,10:37 PM,143,CLE,Chicago,1.7,2007,1513
246,TNT,2017-3-30,10:37 PM,1:09 AM,152,HOU,Portland,1.2,1371,1100
247,ESPN,2017-3-31,8:03 PM,10:36 PM,153,SAS,Oklahoma City,1.4,1609,1230
248,ESPN,2017-3-31,10:36 PM,12:58 AM,142,HOU,Golden State,1.8,2213,1601
249,ABC,2017-4-2,12:59 PM,3:29 PM,150,BOS,New York,1.2,1862,1470
250,ABC,2017-4-2,3:29 PM,6:00 PM,151,UTA,San Antonio,1.6,2528,1860
251,NBA TV,2017-4-2,6:00 PM,9:10 PM,190,DEN,Miami,0.35,233,176
252,NBA TV,2017-4-2,9:10 PM,11:26 PM,136,HOU,Phoenix,0.49,305,246
253,NBA TV,2017-4-3,7:01 PM,9:29 PM,148,POR,Minnesota,0.32,196,160
254,ESPN,2017-4-4,8:01 PM,10:35 PM,154,MIL,Oklahoma City,1.2,1377,1033
255,ESPN,2017-4-4,10:35 PM,1:07 AM,152,MIN,Golden State,1.6,1836,1377
256,ESPN,2017-4-5,8:01 PM,10:35 PM,154,CLE,Boston,1.9,2146,1612
257,ESPN,2017-4-5,10:35 PM,1:09 AM,154,DAL,L.A. Clippers,1.2,1282,1035
258,TNT,2017-4-6,8:13 PM,11:01 PM,168,BOS,Atlanta,1.1,1304,1001
259,TNT,2017-4-6,11:01 PM,1:20 AM,139,MIN,Portland,0.9,1039,789
260,NBA TV,2017-4-7,7:31 PM,9:48 PM,137,ATL,Cleveland,0.59,433,295
261,NBA TV,2017-4-7,9:48 PM,12:31 AM,163,OKC,Phoenix,0.73,547,363
262,NBA TV,2017-4-8,5:00 PM,7:25 PM,145,CHI,Brooklyn,0.24,174,122
263,ABC,2017-4-8,8:29 PM,10:53 PM,144,LAC,San Antonio,1.2,1932,1478
264,NBA TV,2017-4-9,12:00 PM,2:21 PM,141,MIN,L.A. Lakers,0.3,189,150
265,NBA TV,2017-4-9,3:32 PM,6:24 PM,172,TOR,New York,0.69,459,347
