National_Gm_Num,Network,Date,Start Time,End Time,Duration,Away Team,Home Team,National Rating,Average Viewers (000),Average Households (000)
266,NBA TV,2017-4-9,6:24 PM,8:22 PM,118,CLE,Atlanta,0.68,453,339
267,NBA TV,2017-4-9,9:29 PM,11:54 PM,145,HOU,Sacramento,0.51,347,257
268,TNT,2017-4-10,8:14 PM,10:43 PM,149,WAS,Detroit,0.7,862,656
269,TNT,2017-4-10,10:43 PM,1:12 AM,149,HOU,L.A. Clippers,0.9,1074,829
270,NBA TV,2017-4-11,8:03 PM,10:28 PM,145,OKC,Minnesota,0.49,320,246
271,ESPN,2017-4-12,8:01 PM,10:35 PM,154,ATL,Indiana,0.9,1049,811
272,ESPN,2017-4-12,10:35 PM,12:58 AM,143,NOP,Portland,0.8,874,667
1,TNT,2015-10-27,0.833333333,0.935416667,147,CLE,Chicago,2.6,3461,2417
2,TNT,2015-10-27,0.935416667,0.065277778,187,NOP,Golden State,1.9,2528,1791
3,ESPN,2015-10-28,0.836805556,0.938888889,147,SAS,Oklahoma City,1.5,1818,1416
4,ESPN,2015-10-28,0.938888889,0.054166667,166,MIN,L.A. Lakers,2,2361,1839
5,TNT,2015-10-29,0.843055556,0.946527778,149,ATL,New York,0.9,1062,878
6,TNT,2015-10-29,0.946527778,0.055555556,157,DAL,L.A. Clippers,1.2,1401,878
7,ESPN,2015-10-30,0.789583333,0.897222222,155,MIA,Cleveland,1.5,1800,1337
8,ESPN,2015-10-30,0.897222222,0.002777778,152,GSW,Houston,1.5,1812,1413
9,NBA TV,2015-10-31,0.8125,0.920833333,156,GSW,New Orleans,0.36,268,193
10,NBA TV,2015-10-31,0.940972222,0.052083333,160,SAC,L.A. Clippers,0.44,275,234
11,NBA TV,2015-11-1,0.75,0.854861111,151,MIL,Toronto,0.12,83,66
12,NBA TV,2015-11-2,0.833333333,0.943055556,158,OKC,Houston,0.52,331,279
13,NBA TV,2015-11-2,0.943055556,0.044444444,146,MEM,Golden State,0.47,317,253
14,NBA TV,2015-11-3,0.814583333,0.915972222,146,ATL,Miami,0.69,403,371
15,NBA TV,2015-11-3,0.9375,0.045833333,156,DEN,L.A. Lakers,0.68,412,363
16,ESPN,2015-11-4,0.836805556,0.940277778,149,NYK,Cleveland,1.9,2296,1719
17,ESPN,2015-11-4,0.940277778,0.058333333,170,LAC,Golden State,2.3,2850,2155
18,TNT,2015-11-5,0.843055556,0.940972222,141,OKC,Chicago,1.3,1630,1241
19,TNT,2015-11-5,0.940972222,0.049305556,156,MEM,Portland,1,1149,920
20,ESPN,2015-11-6,0.836805556,0.943055556,153,MIA,Indiana,1.2,1423,1125
21,ESPN,2015-11-6,0.943055556,0.051388889,156,HOU,Sacramento,1.2,1341,1081
22,NBA TV,2015-11-7,0.875,0.977083333,147,MEM,Utah,0.18,135,96
23,NBA TV,2015-11-9,0.793055556,0.895833333,148,CHI,Philadelphia,0.38,256,204
24,NBA TV,2015-11-10,0.791666667,0.890277778,142,OKC,Washington,0.5,329,270
25,ESPN,2015-11-11,0.836805556,0.95,163,LAC,Dallas,1.5,1733,1355
26,ESPN,2015-11-11,0.95,0.042361111,133,SAS,Portland,1.5,1716,1344
27,TNT,2015-11-12,0.843055556,0.95,154,GSW,Minnesota,1.2,1451,1082
28,TNT,2015-11-12,0.95,0.054166667,150,LAC,Phoenix,0.9,1078,856
29,NBA TV,2015-11-13,0.8125,0.922916667,159,CLE,New York,0.79,532,424
30,NBA TV,2015-11-13,0.922916667,0.029166667,153,BRK,Sacramento,0.6,398,322
31,NBA TV,2015-11-14,0.875,0.988194444,163,DEN,Phoenix,0.24,145,127
32,NBA TV,2015-11-17,0.791666667,0.895833333,150,MIL,Washington,0.29,175,157
33,NBA TV,2015-11-17,0.9375,0.047916667,159,TOR,Golden State,0.84,586,449
34,ESPN,2015-11-18,0.836805556,0.940972222,150,NOP,Oklahoma City,1.2,1402,1103
35,ESPN,2015-11-18,0.940972222,0.038888889,141,CHI,Phoenix,1.3,1507,1180
36,TNT,2015-11-19,0.843055556,0.951388889,156,MIL,Cleveland,1.4,1622,1306
37,TNT,2015-11-19,0.951388889,0.0625,160,GSW,L.A. Clippers,2.4,2741,2201
38,ESPN,2015-11-20,0.836805556,0.940972222,150,SAS,New Orleans,1.2,1393,1107
39,ESPN,2015-11-20,0.940972222,0.040277778,143,CHI,Golden State,2.3,2853,2134
40,NBA TV,2015-11-21,0.8125,0.915972222,149,WAS,Detroit,0.23,175,124
41,ESPN,2015-11-22,0.833333333,0.938888889,152,GSW,Denver,0.8,912,690
42,NBA TV,2015-11-23,0.813194444,0.913888889,145,NYK,Miami,0.34,227,184
43,TNT,2015-11-24,0.843055556,0.948611111,152,BOS,Atlanta,1.1,1266,1010
44,TNT,2015-11-24,0.948611111,0.043055556,136,LAL,Golden State,2.2,2717,2084
45,NBA TV,2015-11-25,0.833333333,0.940277778,154,MEM,Houston,0.44,307,234
46,NBA TV,2015-11-27,0.793055556,0.897916667,151,MIL,Orlando,0.34,226,183
47,NBA TV,2015-11-27,0.897916667,0,147,GSW,Phoenix,0.83,648,445
48,NBA TV,2015-11-28,0.854166667,0.961111111,154,DEN,Dallas,0.22,145,118
49,NBA TV,2015-11-29,0.750694444,0.863194444,162,PHI,Memphis,0.18,125,98
50,NBA TV,2015-11-30,0.833333333,0.939583333,153,SAS,Chicago,0.46,329,250
51,NBA TV,2015-12-1,0.792361111,0.9,155,WAS,Cleveland,0.55,364,298
52,NBA TV,2015-12-1,0.916666667,0.036111111,172,DAL,Portland,0.44,282,238
53,NBA TV,2015-12-2,0.833333333,0.945138889,161,NOP,Houston,0.41,254,222
54,NBA TV,2015-12-2,0.945138889,0.057638889,162,IND,L.A. Clippers,0.5,349,271
55,TNT,2015-12-3,0.801388889,0.909722222,156,OKC,Miami,0.9,1041,875
56,TNT,2015-12-3,0.909722222,0.011805556,147,SAS,Memphis,0.7,841,668
57,ESPN,2015-12-4,0.791666667,0.899305556,155,BRK,New York,0.9,1108,854
58,ESPN,2015-12-4,0.899305556,0.022222222,177,CLE,New Orleans,1.6,2145,1506
59,NBA TV,2015-12-5,0.833333333,0.943055556,158,CLE,Miami,0.45,291,241
60,NBA TV,2015-12-7,0.833333333,0.953472222,173,BOS,New Orleans,0.21,136,112
61,NBA TV,2015-12-8,0.793055556,0.895138889,147,GSW,Indiana,1.18,823,635
62,NBA TV,2015-12-8,0.916666667,0.020833333,150,UTA,Sacramento,0.49,342,262
63,ESPN,2015-12-9,0.791666667,0.900694444,157,CHI,Boston,1.1,1226,980
64,ESPN,2015-12-9,0.900694444,0.998611111,141,ATL,Dallas,1.3,1357,1151
65,TNT,2015-12-10,0.843055556,0.940277778,140,LAC,Chicago,1,1166,953
66,TNT,2015-12-10,0.940277778,0.052083333,161,NYK,Sacramento,1,1096,915
67,ESPN,2015-12-11,0.791666667,0.9,156,MIA,Indiana,1,1112,894
68,ESPN,2015-12-11,0.9,0.995833333,138,LAL,San Antonio,1.3,1447,1203
69,NBA TV,2015-12-12,0.854166667,0.952777778,142,GSW,Milwaukee,0.97,630,523
70,NBA TV,2015-12-14,0.854166667,0.9625,156,PHX,Dallas,0.19,122,101
71,NBA TV,2015-12-15,0.8125,0.906944444,136,CLE,Boston,0.81,541,434
72,NBA TV,2015-12-15,0.916666667,0.028472222,161,HOU,Sacramento,0.68,433,366
73,ESPN,2015-12-16,0.833333333,0.942361111,157,MEM,Chicago,1.1,1277,1025
74,ESPN,2015-12-16,0.942361111,0.040972222,142,PHX,Golden State,1.7,1969,1555
75,TNT,2015-12-17,0.843055556,0.949305556,153,OKC,Cleveland,2,2416,1827
76,TNT,2015-12-17,0.949305556,0.057638889,156,HOU,L.A. Lakers,1.3,1533,1208
77,ESPN,2015-12-18,0.836805556,0.95,163,LAC,San Antonio,1.5,1734,1339
78,ESPN,2015-12-18,0.95,0.049305556,143,NOP,Phoenix,1,1132,929
79,NBA TV,2015-12-19,0.791666667,0.886805556,137,CHA,Washington,0.19,122,101
80,NBA TV,2015-12-21,0.8125,0.9125,144,MIN,Boston,0.25,166,133
81,NBA TV,2015-12-21,0.939583333,0.040277778,145,OKC,L.A. Clippers,0.44,306,239
82,NBA TV,2015-12-22,0.813194444,0.919444444,153,DAL,Toronto,0.39,236,210
83,NBA TV,2015-12-23,0.791666667,0.893055556,146,HOU,Orlando,0.35,234,191
84,NBA TV,2015-12-23,0.940277778,0.033333333,134,OKC,L.A. Lakers,0.41,276,223
85,ESPN,2015-12-25,0.499305556,0.616666667,169,NOP,Miami,2.4,3169,2239
86,ABC,2015-12-25,0.602083333,0.709027778,154,CHI,Oklahoma City,3.2,5852,3769
87,ABC,2015-12-25,0.709027778,0.833333333,179,CLE,Golden State,5.7,11166,6620
88,ESPN,2015-12-25,0.833333333,0.940972222,155,SAS,Houston,2.6,3881,2341
89,ESPN,2015-12-25,0.940972222,0.036805556,138,LAC,L.A. Lakers,2.1,2887,1915
90,NBA TV,2015-12-26,0.791666667,0.907638889,167,HOU,New Orleans,0.25,176,135
91,NBA TV,2015-12-27,0.791666667,0.899305556,155,NYK,Boston,0.17,130,93
92,NBA TV,2015-12-28,0.833333333,0.940277778,154,TOR,Chicago,0.28,186,152
93,NBA TV,2015-12-29,0.835416667,0.951388889,167,MIL,Oklahoma City,0.49,331,265
94,NBA TV,2015-12-30,0.8125,0.921527778,157,LAL,Boston,0.45,294,242
95,NBA TV,2015-12-30,0.921527778,0.017361111,138,DEN,Portland,0.38,274,205
96,NBA TV,2016-1-2,0.708333333,0.8125,150,PHX,Sacramento,0.25,177,134
97,NBA TV,2016-1-2,0.855555556,0.957638889,147,HOU,San Antonio,0.52,413,280
98,NBA TV,2016-1-4,0.8375,0.950694444,163,IND,Miami,0.57,390,307
99,NBA TV,2016-1-4,0.950694444,0.024305556,106,MEM,Portland,0.44,285,237
100,NBA TV,2016-1-5,0.834027778,0.941666667,155,MIL,Chicago,0.63,439,339
101,NBA TV,2016-1-5,0.941666667,0.034722222,134,GSW,L.A. Lakers,0.68,466,369
102,ESPN,2016-1-6,0.790972222,0.899305556,156,NYK,Miami,1,1219,942
103,ESPN,2016-1-6,0.899305556,0.004166667,151,MEM,Oklahoma City,1.2,1455,1099
104,TNT,2016-1-7,0.833333333,0.940277778,154,BOS,Chicago,1.1,1393,1020
105,TNT,2016-1-7,0.940277778,0.047222222,154,LAL,Sacramento,1,1238,949
106,ESPN,2016-1-8,0.836805556,0.940972222,150,CLE,Minnesota,1.5,1734,1331
107,ESPN,2016-1-8,0.940972222,0.046527778,152,OKC,L.A. Lakers,1.4,1642,1278
108,NBA TV,2016-1-10,0.833333333,0.935416667,147,CHA,Denver,0.26,172,138
109,NBA TV,2016-1-12,0.834027778,0.941666667,155,CHI,Milwaukee,0.46,293,249
110,NBA TV,2016-1-12,0.941666667,0.041666667,144,NOP,L.A. Lakers,0.48,322,260
111,ESPN,2016-1-13,0.836805556,0.940972222,150,IND,Boston,1.1,1197,982
112,ESPN,2016-1-13,0.940972222,0.043055556,147,MIA,L.A. Clippers,1,1221,957
113,NBA TV,2016-1-14,0.625694444,0.745138889,172,TOR,Orlando,0.12,77,67
114,TNT,2016-1-14,0.842361111,0.950694444,156,CLE,San Antonio,2.4,2935,2218
115,TNT,2016-1-14,0.950694444,0.050694444,144,LAL,Golden State,1.9,2355,1781
116,ESPN,2016-1-15,0.791666667,0.899305556,155,MIN,Oklahoma City,1.1,1230,972
117,ESPN,2016-1-15,0.899305556,0.004861111,152,CLE,Houston,1.6,1914,1491
118,ESPN,2016-1-18,0.604166667,0.718055556,164,NOP,Memphis,0.7,754,663
119,NBA TV,2016-1-18,0.711805556,0.8,127,ORL,Atlanta,0.23,139,123
120,TNT,2016-1-18,0.833333333,0.940277778,154,GSW,Cleveland,2.8,3622,2633
121,TNT,2016-1-18,0.940277778,0.065972222,181,HOU,L.A. Clippers,1.3,1580,1224
122,NBA TV,2016-1-19,0.834027778,0.938194444,150,MIN,New Orleans,0.35,241,190
123,ESPN,2016-1-20,0.8375,0.934722222,140,GSW,Chicago,1.7,2073,1597
124,ESPN,2016-1-20,0.934722222,0.045833333,160,ATL,Portland,1,1126,874
125,TNT,2016-1-21,0.833333333,0.944444444,160,LAC,Cleveland,1.7,2034,1557
126,TNT,2016-1-21,0.944444444,0.046527778,147,SAS,Phoenix,1.1,1382,1035
127,ESPN,2016-1-22,0.836805556,0.940972222,150,MIA,Toronto,1,1254,921
128,ESPN,2016-1-22,0.940972222,0.044444444,149,IND,Golden State,1.6,2007,1505
129,ABC,2016-1-23,0.855555556,0.959722222,150,CHI,Cleveland,2.4,3916,2780
130,NBA TV,2016-1-25,0.792361111,0.9,155,MIN,Cleveland,0.73,476,395
131,NBA TV,2016-1-25,0.941666667,0.040972222,143,SAS,Golden State,2.03,1442,1094
132,NBA TV,2016-1-26,0.8125,0.934027778,175,OKC,New York,0.71,462,380
133,NBA TV,2016-1-26,0.938888889,0.042361111,149,DAL,L.A. Lakers,0.43,278,230
134,ESPN,2016-1-27,0.836805556,0.944444444,155,HOU,San Antonio,1.3,1560,1209
135,ESPN,2016-1-27,0.944444444,0.039583333,137,DAL,Golden State,1.7,2092,1577
136,TNT,2016-1-28,0.833333333,0.939583333,153,NYK,Toronto,0.8,1003,784
137,TNT,2016-1-28,0.939583333,0.039583333,144,CHI,L.A. Lakers,1,1152,890
138,NBA TV,2016-1-29,0.834027778,0.94375,158,HOU,Oklahoma City,0.67,446,360
139,NBA TV,2016-1-29,0.94375,0.036111111,133,LAL,L.A. Clippers,0.62,433,332
140,ABC,2016-1-30,0.85625,0.959027778,148,SAS,Cleveland,2.1,3316,2412
141,ABC,2016-1-31,0.647916667,0.75,147,CHI,L.A. Clippers,1.9,2886,2175
142,NBA TV,2016-1-31,0.751388889,0.863888889,162,BOS,Orlando,0.37,270,197
143,NBA TV,2016-1-31,0.876388889,0.984027778,155,MIN,Portland,0.35,268,189
144,NBA TV,2016-2-1,0.791666667,0.909027778,169,CLE,Indiana,0.81,544,433
145,NBA TV,2016-2-1,0.916666667,0.020138889,149,MIL,Sacramento,0.47,322,251
146,NBA TV,2016-2-2,0.833333333,0.9375,150,MIA,Houston,0.5,333,267
147,NBA TV,2016-2-2,0.9375,0.051388889,164,MIN,L.A. Lakers,0.46,324,248
148,ESPN,2016-2-3,0.836805556,0.941666667,151,GSW,Washington,1.9,2257,1719
149,ESPN,2016-2-3,0.941666667,0.051388889,158,MIN,L.A. Clippers,1.2,1424,1077
150,TNT,2016-2-4,0.804861111,0.913194444,156,NYK,Detroit,0.9,987,793
151,TNT,2016-2-4,0.913194444,0.0125,143,LAL,New Orleans,1,1179,888
152,ESPN,2016-2-5,0.790972222,0.899305556,156,IND,Atlanta,0.8,882,726
153,ESPN,2016-2-5,0.899305556,0.002083333,148,SAS,Dallas,1.2,1382,1070
154,ESPN,2016-2-6,0.884027778,0.986805556,148,OKC,Golden State,2.5,3230,2312
155,ABC,2016-2-7,0.585416667,0.690972222,152,LAC,Miami,1.3,1979,1529
156,NBA TV,2016-2-8,0.833333333,0.959722222,182,ORL,Atlanta,0.29,179,153
157,TNT,2016-2-9,0.843055556,0.95,154,SAS,Miami,1.1,1293,997
158,TNT,2016-2-9,0.95,0.059027778,157,HOU,Golden State,1.8,2249,1709
159,ESPN,2016-2-10,0.836805556,0.940972222,150,LAL,Cleveland,1.6,1777,1421
160,ESPN,2016-2-10,0.940972222,0.048611111,155,HOU,Portland,1.1,1222,969
161,TNT,2016-2-11,0.833333333,0.933333333,144,NOP,Oklahoma City,0.9,1119,864
162,TNT,2016-2-18,0.843055556,0.945138889,147,CHI,Cleveland,1.6,1909,1463
163,TNT,2016-2-18,0.945138889,0.046527778,146,SAS,L.A. Clippers,1.4,1729,1323
164,ESPN,2016-2-19,0.836805556,0.940972222,150,IND,Oklahoma City,1.2,1337,1056
165,ESPN,2016-2-19,0.940972222,0.044444444,149,BOS,Utah,0.9,1079,817
166,ABC,2016-2-20,0.85625,0.963194444,154,GSW,L.A. Clippers,2.2,3472,2563
167,ABC,2016-2-21,0.647222222,0.753472222,153,CLE,Oklahoma City,2.2,3536,2607
168,ESPN,2016-2-21,0.832638889,0.940277778,155,LAL,Chicago,1.3,1645,1196
169,NBA TV,2016-2-22,0.834027778,0.936805556,148,GSW,Atlanta,0.89,586,474
170,NBA TV,2016-2-22,0.936805556,0.039583333,148,PHX,L.A. Clippers,0.49,322,261
171,NBA TV,2016-2-23,0.791666667,0.89375,147,NOP,Washington,0.42,262,223
172,NBA TV,2016-2-23,0.916666667,0.019444444,148,BRK,Portland,0.35,226,185
173,ESPN,2016-2-24,0.836805556,0.940972222,150,WAS,Chicago,0.9,944,782
174,ESPN,2016-2-24,0.940972222,0.035416667,136,SAS,Sacramento,1,1126,896
175,TNT,2016-2-25,0.843055556,0.946527778,149,OKC,New Orleans,1.1,1333,989
176,TNT,2016-2-25,0.946527778,0.057638889,160,HOU,Portland,1,1124,895
177,ESPN,2016-2-26,0.836805556,0.940972222,150,CHI,Atlanta,0.9,1074,861
178,ESPN,2016-2-26,0.940972222,0.038888889,141,MEM,L.A. Lakers,0.8,964,756
179,ABC,2016-2-27,0.85625,0.979861111,141,GSW,Oklahoma City,3.2,5322,3756
180,NBA TV,2016-2-28,0.792361111,0.894444444,147,MIN,Dallas,0.37,243,195
181,NBA TV,2016-2-29,0.791666667,0.903472222,161,IND,Cleveland,0.7,476,378
182,NBA TV,2016-2-29,0.919444444,0.017361111,141,OKC,Sacramento,0.59,399,315
183,NBA TV,2016-3-1,0.8125,0.915277778,148,CHI,Miami,0.59,381,315
184,NBA TV,2016-3-1,0.9375,0.052083333,165,ATL,Golden State,0.98,684,526
185,ESPN,2016-3-2,0.836805556,0.93125,136,DET,San Antonio,1.2,1351,1074
186,ESPN,2016-3-2,0.93125,0.040277778,157,OKC,L.A. Clippers,1.3,1461,1176
187,TNT,2016-3-3,0.84375,0.944444444,145,SAS,New Orleans,1.3,1611,1241
188,TNT,2016-3-3,0.944444444,0.045138889,145,OKC,Golden State,2.9,3614,2660
189,ESPN,2016-3-4,0.836805556,0.940972222,150,WAS,Cleveland,1.3,1506,1171
190,ESPN,2016-3-4,0.940972222,0.038888889,141,ATL,L.A. Lakers,1,1145,882
191,ABC,2016-3-5,0.855555556,0.970138889,165,HOU,Chicago,1.2,1867,1358
192,ABC,2016-3-6,0.647222222,0.753472222,153,GSW,L.A. Lakers,2.4,3723,2747
193,NBA TV,2016-3-6,0.75,0.85625,153,POR,Detroit,0.31,230,164
194,NBA TV,2016-3-7,0.791666667,0.911805556,173,MEM,Cleveland,0.67,470,360
195,NBA TV,2016-3-8,0.916666667,0.040277778,178,WAS,Portland,0.44,280,235
196,ESPN,2016-3-9,0.791666667,0.898611111,154,MEM,Boston,0.8,893,751
197,ESPN,2016-3-9,0.898611111,0.002777778,150,LAC,Oklahoma City,1.3,1534,1180
198,TNT,2016-3-10,0.843055556,0.944444444,146,CHI,San Antonio,1.2,1469,1112
199,TNT,2016-3-10,0.944444444,0.047916667,149,CLE,L.A. Lakers,1.4,1778,1331
200,NBA TV,2016-3-11,0.833333333,0.927083333,135,MIA,Chicago,0.45,319,243
201,NBA TV,2016-3-11,0.943055556,0.044444444,146,NYK,L.A. Clippers,0.38,249,203
202,ABC,2016-3-12,0.85625,0.961805556,152,OKC,San Antonio,1.7,2568,1926
203,ABC,2016-3-13,0.647916667,0.75,147,CLE,L.A. Clippers,1.6,2543,1911
204,NBA TV,2016-3-13,0.750694444,0.844444444,135,IND,Atlanta,0.27,201,143
205,ESPN,2016-3-14,0.833333333,0.940972222,155,DET,Washington,0.8,893,732
206,ESPN,2016-3-14,0.940972222,0.040972222,144,CLE,Utah,1.3,1424,1195
207,NBA TV,2016-3-15,0.854166667,0.958333333,150,LAC,San Antonio,0.57,410,306
208,ESPN,2016-3-16,0.791666667,0.899305556,155,OKC,Boston,0.9,989,822
209,ESPN,2016-3-16,0.899305556,0.003472222,150,LAC,Houston,1.1,1221,971
210,NBA TV,2016-3-17,0.854861111,0.958333333,149,POR,San Antonio,0.42,283,226
211,NBA TV,2016-3-18,0.813194444,0.910416667,140,BOS,Toronto,0.2,125,106
212,ABC,2016-3-19,0.85625,0.959722222,149,GSW,San Antonio,3.1,5171,3555
213,NBA TV,2016-3-20,0.814583333,0.908333333,135,SAC,New York,0.22,145,116
214,NBA TV,2016-3-21,0.791666667,0.890277778,142,SAS,Charlotte,0.39,270,209
215,NBA TV,2016-3-21,0.915972222,0.020833333,151,MEM,Phoenix,0.41,286,222
216,TNT,2016-3-22,0.843055556,0.946527778,149,HOU,Oklahoma City,1,1211,952
217,TNT,2016-3-22,0.946527778,0.051388889,151,MEM,L.A. Lakers,0.8,946,773
218,ESPN,2016-3-23,0.836805556,0.940972222,150,NYK,Chicago,1.2,1419,1111
219,ESPN,2016-3-23,0.940972222,0.046527778,152,LAC,Golden State,2.1,2538,1906
220,NBA TV,2016-3-24,0.793055556,0.891666667,142,NOP,Indiana,0.14,93,77
221,NBA TV,2016-3-25,0.813194444,0.923611111,159,CHA,Detroit,0.19,122,100
222,NBA TV,2016-3-26,0.833333333,0.933333333,144,SAS,Oklahoma City,0.45,321,242
223,NBA TV,2016-3-28,0.833333333,0.932638889,143,ATL,Chicago,0.35,247,188
224,NBA TV,2016-3-28,0.938888889,0.041666667,148,BOS,L.A. Clippers,0.4,279,216
225,TNT,2016-3-29,0.843055556,0.954861111,161,HOU,Cleveland,1.2,1373,1079
226,TNT,2016-3-29,0.954861111,0.054861111,144,WAS,Golden State,1.6,1848,1499
227,NBA TV,2016-3-30,0.813888889,0.915277778,146,ATL,Toronto,0.33,214,178
228,NBA TV,2016-3-30,0.938194444,0.052083333,164,MIA,L.A. Lakers,0.57,373,306
229,TNT,2016-3-31,0.801388889,0.90625,151,CHI,Houston,0.9,1079,845
230,TNT,2016-3-31,0.90625,0.007638889,146,LAC,Oklahoma City,1.4,1763,1309
231,ESPN,2016-4-1,0.836111111,0.960416667,179,CLE,Atlanta,1.6,1868,1416
232,ESPN,2016-4-1,0.960416667,0.047916667,126,BOS,Golden State,2.3,2691,2039
233,NBA TV,2016-4-2,0.833333333,0.943055556,158,DET,Chicago,0.24,161,128
234,ABC,2016-4-3,0.647916667,0.761805556,164,OKC,Houston,1.4,2110,1620
235,NBA TV,2016-4-3,0.833333333,0.938194444,151,POR,Golden State,1.14,818,608
236,TNT,2016-4-5,0.843055556,0.944444444,146,DET,Miami,0.8,885,694
237,TNT,2016-4-5,0.944444444,0.060416667,167,MIN,Golden State,1.4,1607,1260
238,ESPN,2016-4-6,0.790972222,0.899305556,156,CLE,Indiana,0.9,1039,816
239,ESPN,2016-4-6,0.899305556,0.004861111,152,HOU,Dallas,1.3,1457,1150
240,TNT,2016-4-7,0.843055556,0.946527778,149,CHI,Miami,1.3,1562,1242
