,Game_id,Away Team,Home Team,Team_Minutes,Final_Score,lead_changes,ties,largest_lead,full_timeouts,short_timeouts,date_est,Qtr_4_Score,L2M_Score,num_allstars
2632,21200413,CHI,IND,240,101 - 111,2,5,14,9,4,2/4/13,76 - 87,92 - 92,3
2677,21200458,DAL,WAS,240,103 - 94,1,1,15,9,2,1/1/13,83 - 71,99 - 99,2
2678,21200459,POR,NYK,240,105 - 100,0,1,19,11,4,1/1/13,78 - 71,98 - 98,3
2679,21200460,SAC,DET,240,97 - 103,5,1,16,10,3,1/1/13,67 - 80,95 - 95,0
2680,21200461,ATL,NOP,240,95 - 86,3,3,11,9,0,1/1/13,72 - 64,91 - 91,2
2681,21200462,LAC,DEN,240,78 - 92,3,4,18,8,0,1/1/13,59 - 75,74 - 74,2
2682,21200463,PHI,LAL,240,103 - 99,3,6,11,9,1,1/1/13,81 - 73,99 - 99,1
2683,21200464,POR,TOR,240,79 - 102,0,0,25,8,2,1/2/13,61 - 78,75 - 75,3
2684,21200465,CHI,ORL,240,96 - 94,2,3,18,11,1,1/2/13,82 - 71,94 - 94,1
2685,21200466,SAC,CLE,240,97 - 94,5,5,10,10,2,1/2/13,74 - 71,89 - 89,1